sha256,split,stored_path,orig_name,size_bytes,mime,label
bc642fa39629de6c2415851d8b363a50710fe8da5605be101728b025195d98ea,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\bc642fa39629de6c2415851d8b363a50710fe8da5605be101728b025195d98ea\aassnaulhq.mp4,aassnaulhq.mp4,6987195,video/mp4,
da7683e58ebd3684b21ea4815bf9bd3484ffebebe47484489da7c1df5e356f82,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\da7683e58ebd3684b21ea4815bf9bd3484ffebebe47484489da7c1df5e356f82\aayfryxljh.mp4,aayfryxljh.mp4,10114027,video/mp4,
80c85f3de6972eb63378b7c87cbc544092ae4706e215fce249d965952ecfbb42,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\80c85f3de6972eb63378b7c87cbc544092ae4706e215fce249d965952ecfbb42\acazlolrpz.mp4,acazlolrpz.mp4,4098352,video/mp4,
103f42ba8f1288b835ae1e156922157ffe8fe9ca1244a5e9e46ddbe4e154fdf6,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\103f42ba8f1288b835ae1e156922157ffe8fe9ca1244a5e9e46ddbe4e154fdf6\adohdulfwb.mp4,adohdulfwb.mp4,3736581,video/mp4,
06d77f61e5eb60923f374ad3332a0ff6d5e5cc115991e5f8e67ce9391c6106ea,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\06d77f61e5eb60923f374ad3332a0ff6d5e5cc115991e5f8e67ce9391c6106ea\ahjnxtiamx.mp4,ahjnxtiamx.mp4,4259685,video/mp4,
d217e934086388f39af5e41d0647a08f4a81249083a8ec362a9c9991885897ca,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\d217e934086388f39af5e41d0647a08f4a81249083a8ec362a9c9991885897ca\ajiyrjfyzp.mp4,ajiyrjfyzp.mp4,5037365,video/mp4,
818a7ed9066ebb4c9c8f1550ec3158802258a02569a53607804026f2b1344154,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\818a7ed9066ebb4c9c8f1550ec3158802258a02569a53607804026f2b1344154\aktnlyqpah.mp4,aktnlyqpah.mp4,3489948,video/mp4,
6357692ff172bdabf97eb40f7caa82329e06c07ace00857f630aa52ba7f9327e,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\6357692ff172bdabf97eb40f7caa82329e06c07ace00857f630aa52ba7f9327e\alrtntfxtd.mp4,alrtntfxtd.mp4,5783600,video/mp4,
15a5c8e2b385b7150f3f451210bab580a191a411a26624f401b70045082db4e2,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\15a5c8e2b385b7150f3f451210bab580a191a411a26624f401b70045082db4e2\aomqqjipcp.mp4,aomqqjipcp.mp4,8332416,video/mp4,
354d3054088cdaff38a77b6f715be1d41d399d805b3349e7f36a1f880846580b,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\354d3054088cdaff38a77b6f715be1d41d399d805b3349e7f36a1f880846580b\apedduehoy.mp4,apedduehoy.mp4,8465712,video/mp4,
c1d5eb63db59e8cf3bbe1b4b8cc9e31c3c4087f29288e9a3ab4a4e9d0c60080d,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\c1d5eb63db59e8cf3bbe1b4b8cc9e31c3c4087f29288e9a3ab4a4e9d0c60080d\apvzjkvnwn.mp4,apvzjkvnwn.mp4,4480223,video/mp4,
9215870aff997b12f73e9866d61fa4e7f6597f0817ed1021b4e069993d976012,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\9215870aff997b12f73e9866d61fa4e7f6597f0817ed1021b4e069993d976012\aqrsylrzgi.mp4,aqrsylrzgi.mp4,6519491,video/mp4,
80f92c79d45c846c3dd8882c04c711000f6561f541cb450056282b485d1a8356,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\80f92c79d45c846c3dd8882c04c711000f6561f541cb450056282b485d1a8356\axfhbpkdlc.mp4,axfhbpkdlc.mp4,4271785,video/mp4,
a7f41aeafa71682dd258d01cba300a6ead3a375a6b3b7e8822d81e1e300fa21e,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\a7f41aeafa71682dd258d01cba300a6ead3a375a6b3b7e8822d81e1e300fa21e\ayipraspbn.mp4,ayipraspbn.mp4,9108276,video/mp4,
b96c110933ebc01723b5ac3b68b9e5b9f95abb139058edff2931a242f7aa0b24,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\b96c110933ebc01723b5ac3b68b9e5b9f95abb139058edff2931a242f7aa0b24\bcbqxhziqz.mp4,bcbqxhziqz.mp4,6353139,video/mp4,
da8f16ece68350614dc60fff90b958202af910bb7f0914eb99f7734c615c7d8b,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\da8f16ece68350614dc60fff90b958202af910bb7f0914eb99f7734c615c7d8b\bcvheslzrq.mp4,bcvheslzrq.mp4,4128309,video/mp4,
d50b862c4bd74f8137b6d84d004d67559774f0bca989aaffa2dcb3c4a6ebd518,test,C:\Users\jinoh\Downloads\personal projects\Blackline-AI-Forensic-Tool-for-Detecting-Deepfake-and-Synthetic-Media\data\raw\d50b862c4bd74f8137b6d84d004d67559774f0bca989aaffa2dcb3c4a6ebd518\bdshuoldwx.mp4,bdshuoldwx.mp4,6356731,video/mp4,
