asset_id,sha256,split,stored_path,store_root,orig_name,size_bytes,mime,label,label_num,width,height,fps,codec,duration_s,nb_streams,format_valid,decode_valid,val_width,val_height,val_duration_s
7fb7fbca-7a9b-49f3-a603-d4d14ccdd80e,bc642fa39629de6c2415851d8b363a50710fe8da5605be101728b025195d98ea,test,bc642fa39629de6c2415851d8b363a50710fe8da5605be101728b025195d98ea\aassnaulhq.mp4,backend\data\raw,aassnaulhq.mp4,6987195,video/mp4,,,1920,1080,29.8799,h264,10.006727,2,True,True,1920,1080,10.006727
bba65ea8-4673-4d31-847b-89efcc94e5cf,da7683e58ebd3684b21ea4815bf9bd3484ffebebe47484489da7c1df5e356f82,test,da7683e58ebd3684b21ea4815bf9bd3484ffebebe47484489da7c1df5e356f82\aayfryxljh.mp4,backend\data\raw,aayfryxljh.mp4,10114027,video/mp4,,,1920,1080,29.9687,h264,10.010444,2,True,True,1920,1080,10.010444
98ef34b8-53c2-4889-9504-ef3b67edf043,80c85f3de6972eb63378b7c87cbc544092ae4706e215fce249d965952ecfbb42,test,80c85f3de6972eb63378b7c87cbc544092ae4706e215fce249d965952ecfbb42\acazlolrpz.mp4,backend\data\raw,acazlolrpz.mp4,4098352,video/mp4,,,1920,1080,29.9689,h264,10.010377,2,True,True,1920,1080,10.010377
baad61cd-83ad-4e13-a15f-02d6031965d3,103f42ba8f1288b835ae1e156922157ffe8fe9ca1244a5e9e46ddbe4e154fdf6,test,103f42ba8f1288b835ae1e156922157ffe8fe9ca1244a5e9e46ddbe4e154fdf6\adohdulfwb.mp4,backend\data\raw,adohdulfwb.mp4,3736581,video/mp4,,,1920,1080,29.97,h264,10.01001,2,True,True,1920,1080,10.01001
0ada00ea-2ce1-45ac-a305-9bceb6b05668,06d77f61e5eb60923f374ad3332a0ff6d5e5cc115991e5f8e67ce9391c6106ea,test,06d77f61e5eb60923f374ad3332a0ff6d5e5cc115991e5f8e67ce9391c6106ea\ahjnxtiamx.mp4,backend\data\raw,ahjnxtiamx.mp4,4259685,video/mp4,,,1920,1080,29.9685,h264,10.010511,2,True,True,1920,1080,10.010511
17407fb4-950e-416a-a710-fcb54d97b6ee,d217e934086388f39af5e41d0647a08f4a81249083a8ec362a9c9991885897ca,test,d217e934086388f39af5e41d0647a08f4a81249083a8ec362a9c9991885897ca\ajiyrjfyzp.mp4,backend\data\raw,ajiyrjfyzp.mp4,5037365,video/mp4,,,1920,1080,29.9689,h264,10.010377,2,True,True,1920,1080,10.010377
655b60e2-ac9e-410e-94cb-f7db6ecc6596,818a7ed9066ebb4c9c8f1550ec3158802258a02569a53607804026f2b1344154,test,818a7ed9066ebb4c9c8f1550ec3158802258a02569a53607804026f2b1344154\aktnlyqpah.mp4,backend\data\raw,aktnlyqpah.mp4,3489948,video/mp4,,,1920,1080,29.9686,h264,10.010478,2,True,True,1920,1080,10.010478
16a4687d-9154-45da-8977-03eabff4f6d1,6357692ff172bdabf97eb40f7caa82329e06c07ace00857f630aa52ba7f9327e,test,6357692ff172bdabf97eb40f7caa82329e06c07ace00857f630aa52ba7f9327e\alrtntfxtd.mp4,backend\data\raw,alrtntfxtd.mp4,5783600,video/mp4,,,1920,1080,29.9927,h264,10.002434,2,True,True,1920,1080,10.002434
fe86856d-4d98-4044-bd60-73ecbc46c6b6,15a5c8e2b385b7150f3f451210bab580a191a411a26624f401b70045082db4e2,test,15a5c8e2b385b7150f3f451210bab580a191a411a26624f401b70045082db4e2\aomqqjipcp.mp4,backend\data\raw,aomqqjipcp.mp4,8332416,video/mp4,,,1920,1080,29.8799,h264,10.006727,2,True,True,1920,1080,10.006727
5ac162ee-b51a-44d3-8b28-083dd2a40773,354d3054088cdaff38a77b6f715be1d41d399d805b3349e7f36a1f880846580b,test,354d3054088cdaff38a77b6f715be1d41d399d805b3349e7f36a1f880846580b\apedduehoy.mp4,backend\data\raw,apedduehoy.mp4,8465712,video/mp4,,,1080,1920,29.969,h264,10.010344,2,True,True,1080,1920,10.010344
